jd,filter,tag,mag,emag
2459790.7,ZTF_i,P48,16.35,0.01
2459790.72,ZTF_g,P48,17.14,0.01
2459790.76,ZTF_r,P48,16.3,0.01
2459791.7,ZTF_r,P48,16.39,0.01
2459791.7,ZTF_r,P48,16.42,0.01
2459793.74,ZTF_i,P48,16.47,0.01
2459794.74,ZTF_r,P48,16.83,0.0
2459794.76,ZTF_r,P48,16.67,0.01
2459794.8,ZTF_g,P48,17.51,0.02
2459798.7,ZTF_i,P48,16.82,0.01
2459798.71,ZTF_r,P48,17.0,0.01
2459798.76,ZTF_g,P48,18.02,0.03
2459799.7,ZTF_r,P48,17.3,0.0
2459801.73,ZTF_g,P48,18.29,0.05
2459803.71,ZTF_g,P48,18.44,0.04
2459805.68,ZTF_r,P48,17.73,0.01
2459360.93,o,P48,20.39,0.32
2459452.76,o,P48,20.67,0.29
2459605.14,o,P48,20.65,0.35
2459771.85,o,P48,17.49,0.05
2459773.81,o,P48,17.11,0.03
2459779.86,c,P48,16.51,0.01
2459783.81,c,P48,16.45,0.01
2459785.83,o,P48,16.32,0.01
2459787.81,c,P48,16.56,0.01
2459791.81,c,P48,16.84,0.01
2459793.78,o,P48,16.67,0.01
2459799.77,o,P48,17.13,0.02
2459801.79,o,P48,17.28,0.04
2459803.81,o,P48,17.36,0.04
